tab_index,tag,text,href,xpath,css_selector,accessible_name,accessible_name_source,accessible_name_priority,role,aria_label,aria_labelledby,aria_describedby,aria_hidden,id,class,title,alt,type,value,placeholder,tabindex,position_x,position_y,position_width,position_height,is_visible,is_enabled,screenshot_immediate,screenshot_delayed
1,a,Aller au contenu principal,https://www.bnf.fr/fr#main-content,body/a[1],a.visually-hidden.focusable.skip-link,Aller au contenu principal,text_content,3,,,,,,,visually-hidden focusable skip-link,,,,,,,74,0,157,22,True,True,reports/focus_screenshots/focus_001_1.png,reports/focus_screenshots/focus_001_2.png
2,a,,https://espacepersonnel.bnf.fr/,"id(""block-menuvertical"")/div[1]/div[1]/div[2]/nav[1]/ul[1]/li[1]/a[1]",a,Mon espace (nouvelle fenêtre),alt (img enfant),4,,,,,,,,,,,,,,36,286,74,74,True,True,reports/focus_screenshots/focus_002_1.png,reports/focus_screenshots/focus_002_2.png
3,a,,https://www.bnf.fr/fr/francois-mitterrand/archenav,"id(""block-menuvertical"")/div[1]/div[1]/div[2]/nav[1]/ul[1]/li[2]/a[1]",a.ajax-link.archenav-link,Horaires / Accès,alt (img enfant),4,button,,,,,,ajax-link archenav-link,,,,,,,36,360,74,74,True,True,reports/focus_screenshots/focus_003_1.png,reports/focus_screenshots/focus_003_2.png
4,a,,https://www.bnf.fr/fr/agenda/archenav,"id(""block-menuvertical"")/div[1]/div[1]/div[2]/nav[1]/ul[1]/li[3]/a[1]",a.ajax-link.archenav-link,Agenda,alt (img enfant),4,button,,,,,,ajax-link archenav-link,,,,,,,36,434,74,74,True,True,reports/focus_screenshots/focus_004_1.png,reports/focus_screenshots/focus_004_2.png
5,a,,https://www.bnf.fr/fr/catalogue/archenav,"id(""block-menuvertical"")/div[1]/div[1]/div[2]/nav[1]/ul[1]/li[4]/a[1]",a.ajax-link.archenav-link,Catalogues,alt (img enfant),4,button,,,,,,ajax-link archenav-link,,,,,,,36,508,74,74,True,True,reports/focus_screenshots/focus_005_1.png,reports/focus_screenshots/focus_005_2.png
6,a,,https://inscriptionbilletterie.bnf.fr/,"id(""block-menuvertical"")/div[1]/div[1]/div[2]/nav[1]/ul[1]/li[5]/a[1]",a.gold,Inscription / Billetterie (nouvelle fenêtre),alt (img enfant),4,,,,,,,gold,,,,,,,36,582,74,74,True,True,reports/focus_screenshots/focus_006_1.png,reports/focus_screenshots/focus_006_2.png
7,a,,https://www.bnf.fr/fr,"id(""navbar"")/div[1]/div[1]/a[1]",a.logo.navbar-btn.pull-left,BnF (aller à l'accueil),alt (img enfant),4,,,,,,,logo navbar-btn pull-left,,,,,,,125,38,120,60,True,True,reports/focus_screenshots/focus_007_1.png,reports/focus_screenshots/focus_007_2.png
8,button,VENIR,,"id(""block-mainnavigation"")/ul[1]/li[1]/button[1]",button.btn-no-style.aorbtn,VENIR,text_content,3,,,,,,,btn-no-style aorbtn,,,submit,,,,481,0,128,135,True,True,reports/focus_screenshots/focus_008_1.png,reports/focus_screenshots/focus_008_2.png
9,button,DÉCOUVRIR,,"id(""block-mainnavigation"")/ul[1]/li[2]/button[1]",button.btn-no-style.aorbtn,DÉCOUVRIR,text_content,3,,,,,,,btn-no-style aorbtn,,,submit,,,,609,0,171,135,True,True,reports/focus_screenshots/focus_009_1.png,reports/focus_screenshots/focus_009_2.png
10,button,EXPLORER,,"id(""block-mainnavigation"")/ul[1]/li[3]/button[1]",button.btn-no-style.aorbtn,EXPLORER,text_content,3,,,,,,,btn-no-style aorbtn,,,submit,,,,779,0,161,135,True,True,reports/focus_screenshots/focus_010_1.png,reports/focus_screenshots/focus_010_2.png
11,button,COLLABORER,,"id(""block-mainnavigation"")/ul[1]/li[4]/button[1]",button.btn-no-style.aorbtn,COLLABORER,text_content,3,,,,,,,btn-no-style aorbtn,,,submit,,,,940,0,184,135,True,True,reports/focus_screenshots/focus_011_1.png,reports/focus_screenshots/focus_011_2.png
